name,alpha_two_code,country,web_pages
Toronto Baptist Seminary and Bible College,CA,Canada,https://tbs.edu
Cégep de Saint-Jérôme,CA,Canada,"https://www.cstj.qc.ca, https://ccmt.cstj.qc.ca, https://ccml.cstj.qc.ca"
Lambton College,CA,Canada,https://www.lambtoncollege.ca
Acadia University,CA,Canada,http://www.acadiau.ca/
Algonquin College,CA,Canada,http://www.algonquincollege.com/
Ashton College,CA,Canada,http://www.ashtoncollege.com/
Assumption University,CA,Canada,http://www.assumptionu.ca/
Athabasca University,CA,Canada,http://www.athabascau.ca/
Augustana University College,CA,Canada,http://www.augustana.ab.ca/
British Columbia Institute of Technology,CA,Canada,http://www.bcit.ca/
British Columbia Open University,CA,Canada,http://www.bcou.ca/
William and Catherine Booth College,CA,Canada,http://www.boothcollege.ca/
Collège Boréal,CA,Canada,http://www.borealc.on.ca/
Bow Valley College,CA,Canada,http://www.bowvalleycollege.ca/
Brandon University,CA,Canada,http://www.brandonu.ca/
Brock University,CA,Canada,http://www.brocku.ca/
DeVry Institute of Technology,CA,Canada,http://www.cal.devry.ca/
Camosun College,CA,Canada,http://www.camosun.bc.ca/
Capilano College,CA,Canada,http://www.capcollege.bc.ca/
University College of the Cariboo,CA,Canada,http://www.cariboo.bc.ca/
Carleton University,CA,Canada,http://www.carleton.ca/
Canadian College of Business & Computers,CA,Canada,http://www.ccbc.ca/
Centennial College,CA,Canada,http://www.centennialcollege.ca/
Canadian Mennonite University,CA,Canada,http://www.cmu.ca/
College of New Caledonia,CA,Canada,http://www.cnc.bc.ca/
Columbia College,CA,Canada,http://www.columbiacollege.ca/
Concordia University College of Alberta,CA,Canada,http://www.concordia.ab.ca/
Concordia University,CA,Canada,http://www.concordia.ca/
Conestoga College,CA,Canada,http://www.conestogac.on.ca/
College of the Rockies,CA,Canada,http://www.cotr.bc.ca/
"University of Moncton, Shippagan",CA,Canada,http://www.cus.ca/
"University of Moncton, Edmundston",CA,Canada,http://www.cuslm.ca/
Dalhousie University,CA,Canada,http://www.dal.ca/
Douglas College,CA,Canada,http://www.douglas.bc.ca/
Durham College,CA,Canada,https://durhamcollege.ca/
Emily Carr Institute of Art + Design,CA,Canada,http://www.eciad.bc.ca/
"École nationale d'administration publique, Université du Québec",CA,Canada,http://www.enap.uquebec.ca/
"École de technologie supérieure, Université du Québec",CA,Canada,http://www.etsmtl.ca/
First Nations University of Canada,CA,Canada,http://www.firstnationsuniversity.ca/
George Brown College,CA,Canada,http://www.gbrownc.on.ca/
École des Hautes Études Commerciales,CA,Canada,http://www.hec.ca/
Humber College,CA,Canada,http://www.humber.ca/
Huron University College,CA,Canada,http://www.huronuc.on.ca/
"Institut Armand-Frappier, Université du Québec",CA,Canada,http://www.iaf.inrs.ca/
"Institut National de la Recherche Scientifique, Université du Québec",CA,Canada,http://www.inrs.uquebec.ca/
Kingston College,CA,Canada,http://www.kingston.edu/
King's University College,CA,Canada,http://www.kingsu.ab.ca/
Kwantleen University College,CA,Canada,http://www.kwantlen.bc.ca/
Lakehead University,CA,Canada,http://www.lakeheadu.ca/
Langara College,CA,Canada,"http://www.langara.bc.ca/, https://langara.ca/"
Lansbridge University,CA,Canada,http://www.lansbridge.com/
Laurentian University of Sudbury,CA,Canada,http://www.laurentian.ca/
MacEwan University,CA,Canada,http://www.macewan.ca/
Malaspina University College,CA,Canada,http://www.mala.bc.ca/
McGill University,CA,Canada,http://www.mcgill.ca/
McMaster University,CA,Canada,http://www.mcmaster.ca/
Mount Saint Vincent University,CA,Canada,http://www.msvu.ca/
Mount Allison University,CA,Canada,http://www.mta.ca/
Mount Royal University,CA,Canada,http://www.mtroyal.ca/
Northern Alberta Institute of Technology,CA,Canada,http://www.nait.ca/
North Island College,CA,Canada,http://www.nic.bc.ca/
Nipissing University,CA,Canada,http://www.nipissingu.ca/
Northern Lights College,CA,Canada,http://www.nlc.bc.ca/
Nova Scotia Agricultural College,CA,Canada,http://www.nsac.ns.ca/
Nova Scotia College of Art and Design,CA,Canada,http://www.nscad.ns.ca/
Nicola Valley Institute of Technology,CA,Canada,http://www.nvit.bc.ca/
Ontario College of Art and Design,CA,Canada,http://www.ocad.ca/
Okanagan University College,CA,Canada,http://www.okanagan.bc.ca/
Dominican College of Philosophy and Theology,CA,Canada,http://www.op.org/canada/college.htm
Pacific International College,CA,Canada,http://www.picollege.ca/
"École Polytechnique de Montréal, Université de Montréal",CA,Canada,http://www.polymtl.ca/
Queen's University,CA,Canada,http://www.queensu.ca/
Quest University,CA,Canada,http://www.questu.ca/
Redeemer College,CA,Canada,http://www.redeemer.ca/
Regent College,CA,Canada,http://www.regent-college.edu/
Royal Military College of Canada,CA,Canada,http://www.rmc.ca/
Royal Roads University,CA,Canada,http://www.royalroads.ca/
Ryerson Polytechnic University,CA,Canada,http://www.ryerson.ca/
Southern Alberta Institute of Technology,CA,Canada,http://www.sait.ca/
Luther College,CA,Canada,http://www.saskweb.com/luthercollege/
Sauder School of Business,CA,Canada,http://www.sauder.ubc.ca/
"University of Toronto, Scarborough",CA,Canada,http://www.scar.utoronto.ca/
Selkirk College,CA,Canada,http://www.selkirk.bc.ca/
Seneca College,CA,Canada,http://www.senecacollege.ca/
Simon Fraser University,CA,Canada,http://www.sfu.ca/
Sheridan College,CA,Canada,http://www.sheridancollege.ca/
Saskatchewan Indian Federated College,CA,Canada,http://www.sifc.edu/
St. Clair College,CA,Canada,http://www.stclairc.on.ca/
St. Francis Xavier University,CA,Canada,http://www.stfx.ca/
St. Mary's University,CA,Canada,"http://www.stmarys.ca/, https://smu.ca/"
St. Thomas University,CA,Canada,http://www.stthomasu.ca/
"Télé-université, Université du Québec",CA,Canada,http://www.teluq.uquebec.ca/
Trent University,CA,Canada,http://www.trentu.ca/
University of Trinity College,CA,Canada,http://www.trinity.utoronto.ca/
Thompson Rivers University,CA,Canada,http://www.tru.ca/
Trinity Western University,CA,Canada,http://www.twu.ca/
University of Alberta,CA,Canada,http://www.ualberta.ca/
University of British Columbia,CA,Canada,http://www.ubc.ca/
Bishop's University,CA,Canada,http://www.ubishops.ca/
University of Calgary,CA,Canada,http://www.ucalgary.ca/
University College of Cape Breton,CA,Canada,http://www.uccb.ns.ca/
University of the Fraser Valley,CA,Canada,https://www.ufv.ca/
Memorial University of Newfoundland,CA,Canada,http://www.ucs.mun.ca/
University of King's College,CA,Canada,http://www.ukings.ns.ca/
Université Laval,CA,Canada,http://www.ulaval.ca/
University of Lethbridge,CA,Canada,http://www.uleth.ca/
University of Manitoba,CA,Canada,http://www.umanitoba.ca/
University of Moncton,CA,Canada,http://www.umoncton.ca/
Université de Montréal,CA,Canada,http://www.umontreal.ca/
University of New Brunswick,CA,Canada,http://www.unb.ca/
University of Northern British Columbia,CA,Canada,http://www.unbc.ca/
"University of New Brunswick, Saint John",CA,Canada,http://www.unbsj.ca/
University Canada West,CA,Canada,http://www.universitycanadawest.ca/
University of Guelph,CA,Canada,http://www.uoguelph.ca/
University of Ontario Institute of Technology,CA,Canada,http://www.uoit.ca/
University of Ottawa,CA,Canada,http://www.uottawa.ca/
